_id,dateScanned,barcode,brandCode,purchasedItemCount,totalSpent,userId
60118c0a0a720f0535000067,2021-01-27 10:51:38,4011,,6.0,28.0,60118c09a4b74c18d3a8c12e
60118bf90a7214ada2000079,2021-01-27 10:51:21,016000147096,BRAND,1.0,10.0,60118bcfa4b74c18d3a8c0d7
5fa8d5730a7214adc30001c3,2020-11-09 00:36:51,075925306254,,11.0,1.0,5fa8d573770b516dda4f4d21
6010be6a0a720f053500005c,2021-01-26 20:14:18,4011,,4.0,22.0,6010be6673c60b12049040ef
6012e64e0a720f05f8000031,2021-01-28 11:29:02,036000320893,,4.0,84.0,5fa41775898c7a11a6bcef3e
6012e66c0a720f05f800004d,2021-01-28 11:29:32,036000320893,,4.0,84.0,5fa41775898c7a11a6bcef3e
6012e65b0a720f05f800003d,2021-01-28 11:29:15,036000320893,,4.0,84.0,5fa41775898c7a11a6bcef3e
6013410c0a7214ad5000002a,2021-01-28 17:56:12,036000320893,,4.0,84.0,5fa41775898c7a11a6bcef3e
601340ff0a7214ad50000024,2021-01-28 17:55:59,036000320893,,4.0,84.0,5fa41775898c7a11a6bcef3e
6012ea2d0a720f05f8000068,2021-01-28 11:45:33,036000495737,HUGGIES,2.0,29.98,6012e1e6a4b74c3cbc516088
60132b1f0a7214ad5000000c,2021-01-28 16:22:39,4011,,1.0,1.0,60132acb73c60b3ca7f3ba32
60132ae40a7214ad50000007,2021-01-28 16:21:40,070470400235,BRAND,1.0,10.0,60132acb73c60b3ca7f3ba32
60132aef0a720f05f800006d,2021-01-28 16:21:51,070470400235,BRAND,1.0,10.0,60132acb73c60b3ca7f3ba32
601341150a7214ad5000002e,2021-01-28 17:56:21,036000320893,,4.0,84.0,5fa41775898c7a11a6bcef3e
6012e6380a720f05f800001c,2021-01-28 11:28:40,036000320893,,4.0,84.0,5fa41775898c7a11a6bcef3e
6012e62d0a720f05f8000012,2021-01-28 11:28:29,036000320893,,4.0,84.0,5fa41775898c7a11a6bcef3e
601341040a7214ad50000026,2021-01-28 17:56:04,036000320893,,4.0,84.0,5fa41775898c7a11a6bcef3e
6012e64f0a720f05f8000032,2021-01-28 11:29:03,036000320893,,4.0,84.0,5fa41775898c7a11a6bcef3e
601340fc0a720f05f8000089,2021-01-28 17:55:56,036000320893,,4.0,84.0,5fa41775898c7a11a6bcef3e
60132b740a7214ad50000012,2021-01-28 16:24:04,4011,,2.0,1.0,60132acb73c60b3ca7f3ba32
6012e6430a720f05f8000026,2021-01-28 11:28:51,036000320893,,4.0,84.0,5fa41775898c7a11a6bcef3e
60132b860a720f05f8000075,2021-01-28 16:24:22,4011,,1.0,24.0,60132b85a4b74c3cbc516295
601341160a720f05f8000095,2021-01-28 17:56:22,036000320893,,4.0,84.0,5fa41775898c7a11a6bcef3e
6012e6750a720f05f8000055,2021-01-28 11:29:41,036000320893,,4.0,84.0,5fa41775898c7a11a6bcef3e
6012e6620a720f05f8000043,2021-01-28 11:29:22,036000320893,,4.0,84.0,5fa41775898c7a11a6bcef3e
6012e6840a720f05f8000063,2021-01-28 11:29:56,036000320893,,4.0,84.0,5fa41775898c7a11a6bcef3e
6012e6210a720f05f8000007,2021-01-28 11:28:17,036000320893,,4.0,84.0,5fa41775898c7a11a6bcef3e
6012e6710a720f05f8000051,2021-01-28 11:29:37,036000320893,,4.0,84.0,5fa41775898c7a11a6bcef3e
600f2fc80a720f0535000030,2021-01-25 15:53:28,,BETTY CROCKER,689.0,4566.17,600f29a64329897eac239049
60132b890a7214ad50000013,2021-01-28 16:24:25,,,0.0,0.0,60132b8873c60b3ca7f3bae8
6012e6850a720f05f8000064,2021-01-28 11:29:57,036000320893,,4.0,84.0,5fa41775898c7a11a6bcef3e
60132b960a720f05f800007a,2021-01-28 16:24:38,4011,,4.0,20.0,60132b8b73c60b3ca7f3baee
6012e6660a720f05f8000047,2021-01-28 11:29:26,036000320893,,4.0,84.0,5fa41775898c7a11a6bcef3e
6013410f0a720f05f8000092,2021-01-28 17:56:15,036000320893,,4.0,84.0,5fa41775898c7a11a6bcef3e
601443720a7214ad50000063,2021-01-29 12:18:42,079400066619,,1.0,1.0,601442ce67804a1228b1dc41
601448f30a720f05f80000d9,2021-01-29 12:42:11,043000006283,,5.0,25.0,6014485b84231211ce793d79
601431db0a720f05f80000a8,2021-01-29 11:03:39,4011,,2.0,1.0,6014319173c60b3ca7f3bf01
